iter,recon_loss,trip_loss,total_loss
0,0.0007060141651891172,2.786698818206787,2.787404775619507
1,0.26563483476638794,2.8683502674102783,3.1339850425720215
2,0.035310860723257065,1.8685789108276367,1.903889775276184
3,0.1345154494047165,2.2865545749664307,2.421070098876953
4,0.14534977078437805,1.9159590005874634,2.0613088607788086
5,0.05216878280043602,2.3518612384796143,2.4040300846099854
6,0.013092600740492344,1.9935990571975708,2.0066916942596436
7,0.05016878992319107,1.6540977954864502,1.7042665481567383
8,0.0810282751917839,2.1413302421569824,2.222358465194702
9,0.0692620724439621,1.847873330116272,1.9171353578567505
10,0.03559137135744095,1.7778301239013672,1.8134214878082275
11,0.015857243910431862,1.8740994930267334,1.8899567127227783
12,0.02252138964831829,1.9851912260055542,2.0077126026153564
13,0.03794090822339058,1.938516616821289,1.9764574766159058
14,0.046810854226350784,1.6591980457305908,1.7060089111328125
15,0.03886329010128975,2.380119800567627,2.418982982635498
16,0.024707309901714325,1.791795253753662,1.816502571105957
17,0.019481703639030457,1.9185510873794556,1.9380327463150024
18,0.026365555822849274,1.564294457435608,1.5906599760055542
19,0.03557445853948593,1.5309044122695923,1.5664788484573364
20,0.03838815167546272,1.8819373846054077,1.920325517654419
21,0.040219493210315704,1.6389355659484863,1.6791551113128662
22,0.029456183314323425,1.9816880226135254,2.0111441612243652
23,0.0285914596170187,1.3649698495864868,1.3935613632202148
24,0.026515569537878036,1.62599778175354,1.6525133848190308
25,0.032009515911340714,1.8086507320404053,1.8406602144241333
26,0.03281315043568611,1.6528024673461914,1.6856156587600708
27,0.0329132005572319,1.8663082122802734,1.899221420288086
28,0.03268030658364296,1.829400897026062,1.8620811700820923
29,0.03234481066465378,1.3687275648117065,1.401072382926941
30,0.029918035492300987,1.4121196269989014,1.4420377016067505
31,0.03160471469163895,1.6056883335113525,1.6372931003570557
32,0.033041976392269135,1.6519602537155151,1.6850022077560425
33,0.03443605452775955,1.7963818311691284,1.8308179378509521
34,0.03447313979268074,1.4353902339935303,1.4698634147644043
35,0.028429759666323662,1.0163617134094238,1.0447914600372314
36,0.028626088052988052,1.6000571250915527,1.6286832094192505
37,0.032912325114011765,1.2939708232879639,1.3268831968307495
38,0.032133422791957855,1.5823605060577393,1.6144939661026
39,0.02881522849202156,1.435796856880188,1.4646121263504028
40,0.030830377712845802,1.2666288614273071,1.2974592447280884
41,0.02915467508137226,1.4863548278808594,1.5155094861984253
42,0.02977747656404972,1.4876950979232788,1.5174726247787476
43,0.032415762543678284,1.6442513465881348,1.6766670942306519
44,0.030600829049944878,1.7512460947036743,1.7818468809127808
45,0.029267003759741783,1.4221888780593872,1.45145583152771
46,0.028828058391809464,1.3955520391464233,1.4243800640106201
47,0.02657121792435646,1.3055611848831177,1.3321324586868286
48,0.0259373988956213,1.7481533288955688,1.7740907669067383
49,0.028754789382219315,1.3215967416763306,1.3503515720367432
50,0.03148946911096573,1.3976253271102905,1.429114818572998
51,0.031308598816394806,1.606968641281128,1.638277292251587
52,0.027816852554678917,1.2284523248672485,1.2562692165374756
53,0.0295088067650795,1.311437726020813,1.3409465551376343
54,0.022946715354919434,1.7180581092834473,1.7410048246383667
55,0.02504986897110939,1.6371628046035767,1.6622127294540405
56,0.030611976981163025,1.5964199304580688,1.627031922340393
57,0.02838098257780075,1.0558171272277832,1.0841981172561646
58,0.029090268537402153,0.9099742770195007,0.9390645623207092
59,0.028113435953855515,1.191566824913025,1.2196803092956543
60,0.02876337058842182,1.6639649868011475,1.6927284002304077
61,0.027736200019717216,1.2839760780334473,1.3117122650146484
62,0.03166157752275467,1.2991617918014526,1.3308234214782715
63,0.027297237887978554,1.8975802659988403,1.9248775243759155
64,0.027554266154766083,1.079451084136963,1.1070053577423096
65,0.02737612836062908,1.7015423774719238,1.7289185523986816
66,0.025552691891789436,1.2533788681030273,1.2789316177368164
67,0.026606043800711632,1.3559695482254028,1.3825756311416626
68,0.02491956204175949,1.2077184915542603,1.2326380014419556
69,0.029766468331217766,1.2800346612930298,1.3098011016845703
70,0.02624717727303505,1.3166030645370483,1.3428502082824707
71,0.024619828909635544,1.1070566177368164,1.131676435470581
72,0.02602814882993698,1.3075705766677856,1.3335987329483032
73,0.025355715304613113,1.5180522203445435,1.543407917022705
74,0.02628588303923607,1.1157422065734863,1.1420280933380127
75,0.027507666498422623,1.236798644065857,1.2643063068389893
76,0.027618447318673134,1.1712616682052612,1.1988800764083862
77,0.02467319369316101,1.6740978956222534,1.6987711191177368
78,0.029200486838817596,0.8377060890197754,0.8669065833091736
79,0.024091500788927078,1.4872510433197021,1.5113425254821777
80,0.020728953182697296,1.3573077917099,1.3780367374420166
81,0.025658167898654938,1.100449800491333,1.126107931137085
82,0.02260344661772251,1.326939582824707,1.3495429754257202
83,0.027341393753886223,1.6893292665481567,1.7166706323623657
84,0.026302585378289223,1.2185050249099731,1.2448076009750366
85,0.02655705064535141,1.0830469131469727,1.109604001045227
86,0.027897877618670464,1.2716058492660522,1.2995036840438843
87,0.026231030002236366,1.326540470123291,1.352771520614624
88,0.026173602789640427,1.0380871295928955,1.064260721206665
89,0.027532126754522324,1.088756799697876,1.1162889003753662
90,0.028776973485946655,0.9934406280517578,1.0222176313400269
91,0.02608802728354931,1.4284346103668213,1.4545226097106934
92,0.025596333667635918,1.3352444171905518,1.3608407974243164
93,0.02700989693403244,1.0354629755020142,1.0624728202819824
94,0.02715044654905796,0.9978844523429871,1.0250349044799805
95,0.027952078729867935,1.1040984392166138,1.1320505142211914
96,0.02860186994075775,1.2821887731552124,1.3107906579971313
