,score
Degs1,48.90734011992822
Rps11,48.85399918149646
Lrp2,48.84127124093453
Gramd1b,48.823199549602386
Rpl17,48.743747550313195
Mfsd12,48.654054191619814
Tpcn1,48.55272867286291
Slc43a2,48.55092687483963
Epcam,48.482381278462405
Atp6v0e,48.10617670974734
Rpl11,48.08899542989185
Rpl7a,47.67536446687046
Tspan13,47.65426347122941
Tfcp2l1,47.622669130907575
Aldh7a1,47.49744457180378
Vimp,47.48660876174596
Jade1,47.24831833562347
Espn,47.193313499925
Marc2,47.10629015309896
Elovl1,47.098522357355805
Slc23a1,47.089052225204156
Cgref1,47.02589653753368
Ass1,46.899057742593214
Lcp1,46.881954637422204
Dnajc22,46.83027139555419
Rpl6,46.72635777117611
Anp32e,46.725783760035036
Rpl7,46.50476507265185
Oat,46.336344857667
Slc7a8,46.23869626293228
Atox1,46.21612783217733
Acaa1a,46.163731683467255
Cox5a,46.11640968191221
Adora2b,46.08168567494628
Akr1b3,46.03622571349063
Rpl28,46.00198237936632
Tpd52,45.96566398362495
Slc35f6,45.66209130504657
Ldha,45.549966369423714
Abcg2,45.50825370349635
Crb3,45.47002370629865
Rab11a,45.40286981253155
Rps23,45.33739026897469
Gns,45.3267565491019
Cox4i1,45.325016967945714
Avpi1,45.27220753907199
Uqcrq,45.08484334855025
Serpinf2,44.82849972402806
Rps26,44.784203239158295
Oaz1,44.77309614337426
Clcn5,44.64455546362918
Slc7a9,44.48790068463845
2810459M11Rik,44.44727234656565
Hmgb3,44.396248332495055
Fam162a,44.37404007241087
Rps20,44.325880881401645
S100a16,44.271666924333914
Agpat3,44.16129827653116
Rpl18a,44.127500281732
Meg3,44.108707830781036
Rdx,43.92532283856471
Igsf23,43.50322857894956
Rpl21,43.43727231149551
Lxn,43.39342130706618
Rpl19,43.35741531076422
Gpc3,43.28423848555774
Rps15a,43.16247098888865
Psat1,42.98407037592434
Nap1l1,42.86622422352194
Rpl36a,42.630526780168786
Cfl1,42.60774315490924
mt-Co1,42.600027944262465
Pdlim1,42.341913308690856
Hadh,42.2535031111013
Gnb2l1,41.86308436041673
Cox14,41.69042638141385
mt-Co3,41.61868686691567
Hebp1,41.5880821685767
Polg,41.58150431859335
Rab20,41.3346055754373
Snrpn,41.23067632465101
Hsd17b2,40.983893829066496
Asl,40.889002511042676
Slc39a4,40.7190633818755
Vps26a,40.69159313649358
Rpl13a,40.67258378592317
Anp32b,40.61465468331752
Hexb,40.577001009145896
Tmem120a,40.52407689252598
Sccpdh,40.51586150345326
Tuba1b,40.45107035770007
Rpl3,40.40821672054897
Eps8,40.28982497718639
Ehd1,40.22377235781781
Atp6v1b2,40.119746068605146
Pth1r,40.03188554648035
Fga,39.96868750183563
Tbrg1,39.75192174530789
Arpc1b,39.678499659020204
Sfmbt2,39.623560512605096
Abca3,39.55271006589623
Timd2,39.4885686203435
Rplp2,39.432597248638935
Sord,39.38350519048683
Aqp8,39.352119684379495
Muc13,39.22165110952772
Fkbp3,39.1417475317151
Hist1h2bc,39.07665758686533
Rhoc,39.07533125653467
Krt18,38.92402742828834
Hmgn1,38.86031835796669
Epb41l3,38.71779394475068
Prdx2,38.689361764585804
Gjb1,38.43221457619599
Pgam1,38.36763047667573
Erh,38.30223529374992
Ap1b1,38.189730413904776
Tmem256,38.17915551781257
Tomm5,38.160412649162126
Abcc2,38.135557621471634
Cdkn2a,38.06866141446908
Gnas,38.03339122250166
Fkbp11,38.00855262839504
Aqp11,37.95996296465214
Creb3,37.881870962533995
Tm4sf5,37.87544720494029
Tex264,37.746108707051924
Col4a1,37.65626846822317
Thnsl2,37.542257523671424
Vps35,37.535216978701975
Reep5,37.52708320163933
Rasgrp2,37.463761080803145
Zdhhc12,37.26156678437109
Ddx39b,37.05387691405346
Plin3,37.03727589211807
U2af1,37.02813189931898
Slc16a3,36.98305562357003
Slc25a4,36.88451325799347
Cst3,36.73601690657758
Glmp,36.731617647391566
Trp53,36.404811777964326
Rps17,36.40152450970166
Krt8,36.26197684638892
Rab17,36.159968032373676
Glud1,36.08887714406158
Atp6v1d,36.0056956775935
Mbl2,35.95249772753497
Slc40a1,35.906141307819276
Stmn1,35.851836227721655
Hmga2,35.84050473339871
Bex2,35.82998709833038
Glul,35.81985680432282
Ccnd2,35.767662861554655
Sat1,35.64313292297024
Pigyl,35.616804670431875
Selt,35.60834108979024
Slc25a15,35.503360316411786
Sypl,35.4702161524854
Sod1,35.330430132719634
Rpl27a,35.18490934807017
Cox17,35.171626653910316
Fscn1,35.10743989359638
Klf9,35.10519561732154
Acox1,34.89945780266884
Evi5,34.89585411025613
Bend7,34.745953767400906
Cox7a2,34.72284479544632
Dpp7,34.64570819713705
Sox11,34.47884905717597
Stard4,34.45292612583065
Pcbp4,34.43071730392025
Tpt1,34.41880600167404
Srsf7,34.3170932344084
Twf1,34.26024959925705
Hsd17b11,34.25422405306853
Dhcr24,34.24630742893258
Hnrnpc,34.23805814609819
Qprt,34.2297337013807
Galk1,34.182234279199946
Atp6v1c1,34.15529547248942
Rps12,34.09440378585115
Hmgb2,34.09343501175343
Nasp,33.951244030519796
Ninj1,33.8840840070321
Dhx32,33.86827555209783
Sec11c,33.79823019486021
Pacsin2,33.675360884066905
Ltbr,33.669669178728775
Bnip3l,33.63535731597655
Eif4a1,33.621161623549895
mt-Co2,33.61360013483617
Rpn1,33.58764861291964
Tmem51,33.5785359766614
Acot13,33.449446781907795
Lamtor4,33.433318474380116
Rbpms2,33.41488563206498
Etfb,33.39461859640414
Cdhr2,33.288175029473
Cmtm4,33.26126894014073
Lasp1,32.98265799799762
Npc1,32.92439574217105
Acot1,32.86727506402847
Hpn,32.85862161689538
Npc2,32.75673942312301
Eif1ax,32.576990278972545
Gjb2,32.48715846313599
Sms,32.43872367514713
Lpcat3,32.43718805877227
Tmsb4x,32.43305326411866
Sparc,32.40598315252079
AI413582,32.37290078797874
Mpp1,32.37192319444701
Swt1,32.32962141991617
Cdk4,32.12368446048028
Pebp1,32.11935359216017
Golga4,31.83764942751634
AI662270,31.802022759580467
Ap1m2,31.73123436706928
Srsf2,31.626219175250842
Prlr,31.49150460291439
Slc25a10,31.33494611446665
Snx6,31.257726953940285
Dsg2,31.253089764118783
Siva1,31.18545984344314
Plpp2,31.143359501668478
Uqcr11,31.13104287271854
Rps3a1,31.10942113410507
Cald1,31.095852109447925
