,weight
N0321,0.3289735
N0322,0.2011668
N0323,0.2319433
N0324,0.5796627
N0325,0.17861703
N0326,0.19946486
N0327,0.5085977
N0328,0.20556992
N0329,0.21535787
N0330,0.8648935
N0331,0.24602373
N0332,0.13162395
N0333,2.1729605
N0334,0.7111278
N0335,0.2502749
N0336,0.30826762
N0337,0.4280132
N0338,0.13798629
N0339,0.097077094
N0340,0.2654604
N0341,0.30465138
N0342,0.22411385
N0343,1.1350229
N0344,0.2158515
N0345,0.32563606
N0346,0.26221973
N0347,0.17941841
N0348,0.23596232
N0349,0.17846027
N0350,0.18550578
N0351,0.11787636
N0352,0.17784394
N0353,0.32797968
N0354,0.14181773
N0355,0.23874818
N0356,0.17469119
N0357,0.24235307
N0358,0.097375244
N0359,0.18847169
N0360,0.19685622
N0361,0.15946485
N0362,0.40092707
N0363,0.034892313
N0364,0.10346782
N0365,0.11530977
N0366,0.07537937
N0367,0.27033225
N0368,0.28239244
N0369,0.49368376
N0370,0.16453151
N0371,0.39642
N0372,0.40124774
N0373,0.23070098
N0374,0.19051097
N0375,0.10746776
N0376,0.30849862
N0377,0.18306433
N0378,0.11245004
N0379,0.09851285
N0380,0.49834195
N0381,0.8057976
N0382,0.017899286
N0383,0.16894317
N0384,0.25284263
N0385,0.13908795
N0386,0.07966042
N0387,0.25823724
N0388,0.48273125
N0389,0.7190269
N0390,0.11894073
N0391,0.23984912
N0392,0.7286941
N0393,0.37295124
N0394,0.20762962
N0395,0.28238147
N0396,0.30653408
N0397,0.29337388
N0398,0.18578969
N0399,0.12679781
N0400,0.29237348
N0401,0.49607816
N0402,0.27259165
N0403,0.19467218
N0404,0.5802488
N0405,0.06617944
N0406,0.2775026
N0407,0.07331422
N0408,0.5605028
N0409,0.18935809
N0410,0.18184465
N0411,0.2009555
N0412,0.25694084
N0413,0.20873293
N0414,0.20363697
N0415,0.24704415
N0416,0.26198262
N0417,0.049108792
N0418,0.15457644
N0419,0.23606156
N0420,0.29426554
N0421,0.30315053
N0422,0.25952432
N0423,0.25476614
N0424,0.609135
N0425,0.10540161
N0426,0.65918624
N0427,0.7591811
N0428,0.21008965
N0429,0.44276515
N0430,0.06702041
N0431,0.13665159
N0432,0.06957442
N0433,0.3421754
N0434,0.09711098
N0435,0.24959803
N0436,0.21242557
N0437,0.15390089
N0438,0.21055907
N0439,0.27425534
N0440,0.052286185
N0441,0.07808106
N0442,0.6605379
N0443,6.780988
N0444,0.6742462
N0445,0.4564522
N0446,6.5158978
N0447,1.4113826
N0448,0.19903235
N0449,0.34809366
N0450,0.16840318
N0451,0.08814495
N0452,1.5331843
N0453,0.21763523
N0454,0.11603016
N0455,0.36252064
N0456,0.2989651
N0457,0.22983766
N0458,0.08119648
N0459,0.2485315
N0460,0.17083219
N0461,0.4353464
N0462,0.36833152
N0463,0.22032584
N0464,0.6863671
N0465,0.12869287
N0466,0.43498403
N0467,0.15191416
N0468,0.52854395
N0469,1.0980502
N0470,0.12162529
N0471,0.3677205
N0472,0.5418702
N0473,0.5062889
N0474,0.057738755
N0475,0.25140983
N0476,0.21661624
N0477,0.058001734
N0478,0.5611316
N0479,0.034909062
N0480,0.44174677
N0481,0.4048264
N0482,0.3658868
N0483,0.1688815
N0484,0.19945341
N0485,0.10197878
N0486,0.13115263
N0487,0.7317647
N0488,0.4531066
N0489,0.16369042
N0490,0.7594756
N0491,1.048983
N0492,0.03083018
N0493,0.81180745
N0494,0.29941747
N0495,0.48844478
N0496,0.042267
N0497,4.0079308
N0498,0.4223099
N0499,0.1000941
N0500,0.474075
N0501,0.06942117
N0502,0.26655844
N0503,0.44975916
N0504,0.3514727
N0505,0.09361045
N0506,0.64539075
N0507,0.21682058
N0508,0.16882962
N0509,0.16538523
N0510,0.07590492
t1,0.22095841
t2,0.52662975
t3,0.25299397
t4,0.58724165
t5,0.41164112
t6,1.6586773
t7,2.074175
t8,1.3681606
t9,0.32124394
t10,0.17960927
t11,0.26516742
t12,2.8990755
t13,0.33627355
t14,0.62645763
t15,0.16290581
t16,0.50294596
t17,1.3325036
t18,0.7470042
t19,0.8090273
t20,0.20982899
t21,0.70024085
t22,0.15302546
t23,0.3588801
t24,0.12262756
t25,0.13140997
t26,0.15739104
t27,0.501974
t28,0.15601185
t29,0.34608826
t30,0.09508644
t31,1.821336
t32,1.1431051
t33,1.7642705
t34,0.81675065
t35,1.4254487
t36,1.3291825
t37,0.9701539
t38,0.25520077
t39,0.69561964
t40,0.66402215
t41,0.93570745
t42,0.34740594
t43,0.54393286
t44,0.5458467
t45,0.8976276
t46,0.118835695
t47,0.57257
t48,1.3249409
t49,0.7814818
t50,0.3188551
t51,0.60119665
t52,0.3535786
t53,0.40420294
t54,0.4913312
t55,0.5229029
t56,0.36345708
t57,0.30382785
t58,0.14109285
t59,0.09264979
t60,0.18310905
t61,0.074739136
t62,0.14156616
t63,0.36137652
t64,0.6280178
t65,0.88828486
t66,1.1320314
t67,0.52119696
t68,0.25621003
t69,0.98766905
t70,0.5403155
t71,1.294878
t72,0.29853195
t73,1.3755288
t74,1.3427627
t75,1.1546254
t76,0.89289695
t77,1.2738744
t78,0.74975216
t79,1.4989693
t80,1.0953904
t81,0.9076111
t82,0.88818616
t83,0.89763224
t84,1.3238608
t85,1.0914241
t86,1.5618271
t87,1.533568
t88,1.2966906
t89,2.106217
t90,1.3365797
t91,1.5237125
t92,1.0162218
t93,1.1397889
t94,1.1495395
t95,1.8730332
t96,1.7574141
t97,1.4039006
t98,1.1830152
t99,2.5660594
t100,0.83596766
t101,1.546943
t102,0.92285264
t103,1.7524306
t104,1.391678
t105,1.1034768
t106,1.6500303
t107,1.2617067
t108,1.1480743
t109,0.7550911
t110,1.4962531
t111,0.8257012
t112,1.3876079
t113,1.8153696
t114,0.65965414
t115,0.6696003
t116,1.4073873
t117,0.8277574
t118,0.48329937
t119,1.3519454
t120,1.5287435
t121,1.0964298
t122,1.2474121
t123,0.35290948
t124,1.3543748
t125,1.1751087
t126,1.0327296
t127,1.3888118
t128,1.2355775
t129,0.6247988
t130,1.1322105
t131,1.9385735
t132,1.4575229
t133,1.5821763
t134,1.2552617
t135,1.0550421
t136,1.5034118
t137,0.7843294
t138,0.94700783
t139,1.7035186
t140,0.430098
t141,1.1303374
t142,2.9693449
t143,1.5813102
t144,1.2170972
t145,1.5417784
t146,1.711404
t147,2.2490637
t148,1.4740396
t149,1.2546619
t150,0.70968187
t151,1.3375791
t152,1.9077312
t153,1.1471912
t154,3.369738
t155,1.5390649
t156,1.2068677
t157,0.42980802
t158,2.5774248
t159,3.8017042
t160,0.15172882
t161,0.79229355
t162,0.83271354
t163,0.42725956
t164,0.4741669
t165,0.74957967
t166,0.7461965
t167,0.67446876
t168,1.2264307
t169,1.6592426
t170,0.8610689
t171,0.5456232
t172,0.9338106
t173,0.23134397
t174,0.3919074
t175,0.9244809
t176,0.5571178
t177,0.9346711
t178,0.40764284
t179,0.25633243
t180,0.31387737
t181,0.9973349
t182,0.96566683
t183,0.46402448
t184,0.4009862
t185,0.826797
t186,1.3058006
t187,1.0375757
t188,1.1100162
t189,1.7225547
t190,1.4815747
t191,1.2270223
t192,1.4040821
t193,0.8983619
t194,1.0730104
t195,0.6904634
t196,0.9944029
t197,1.0098588
t198,0.5942261
t199,0.7587265
t200,0.978054
t201,1.3745404
t202,1.7904016
t203,0.90722543
t204,0.82716656
t205,1.0854559
t206,0.7818835
t207,1.2364537
t208,0.85750026
t209,1.5339828
t210,1.548384
t211,1.1999538
t212,1.4247888
t213,1.5825672
t214,1.1850164
t215,1.5417681
t216,0.98584694
t217,1.7351508
t218,1.8693113
t219,1.4718937
t220,1.1917446
t221,1.3739151
t222,2.0437696
t223,1.2888134
t224,1.5804999
t225,0.5593801
t226,0.9018432
t227,0.42124
t228,0.52390426
t229,0.29698187
t230,0.3694399
t231,1.3659103
t232,1.536692
t233,0.3855072
t234,0.5977918
t235,0.32633317
t236,0.35029945
t237,1.5980161
t238,1.1783613
t239,1.025051
t240,1.0612314
t241,2.095702
t242,1.7438084
t243,1.420941
t244,1.2194328
t245,1.3988227
t246,1.2850814
t247,1.7147168
t248,1.9633322
t249,1.5728935
t250,1.2686734
t251,1.3584815
t252,1.5710185
t253,0.97610074
t254,0.7972331
t255,1.4804971
t256,1.417236
t257,1.2419729
t258,1.5797803
t259,1.5012836
t260,1.4323325
t261,1.7463877
t262,1.5368712
t263,1.4414918
t264,1.5192679
t265,0.73583007
t266,0.8009622
t267,0.4773962
t268,0.5928502
t269,0.8708217
t270,0.9330639
t271,0.95127285
t272,1.286717
t273,0.5301351
t274,0.32738099
t275,0.27260804
t276,0.76015764
t277,0.2989129
t278,0.38767278
t279,0.8322753
t280,0.7204069
t281,0.6268977
t282,1.1585565
t283,1.2961471
t284,1.4175285
t285,0.64377224
t286,0.32309762
t287,1.0393115
t288,0.6668652
t289,1.1523951
t290,1.29021
t291,1.0605534
t292,1.2855207
t293,1.3084888
t294,1.0396887
t295,0.38712007
t296,0.74169874
t297,0.61567223
t298,1.037176
t299,0.77498347
t300,0.66002524
t301,1.4645444
t302,1.3545855
t303,1.2223101
t304,1.0425817
t305,1.127182
t306,1.5556109
t307,0.4149184
t308,0.4886283
t309,0.78675896
t310,1.1736511
t311,0.84371513
t312,1.1197598
t313,0.70795655
t314,1.0861297
t315,0.4867968
t316,0.63239366
t317,0.5542174
t318,0.7820081
t319,0.9262046
t320,0.6423023
t321,0.31491578
t322,0.27578622
t323,0.4863077
t324,0.19312821
t325,0.15625161
t326,0.03419428
t327,0.2146669
t328,0.11785037
t329,0.39901745
t330,2.0226696
t331,0.674747
t332,0.2557553
t333,0.66751176
t334,1.7810264
t335,0.867836
t336,0.95150113
t337,0.5132688
t338,0.35763037
t339,2.8863246
t340,0.13119592
t341,0.3091132
t342,2.684743
t343,1.8119715
t344,0.94738746
t345,1.0357463
t346,1.3246607
t347,0.48743975
t348,0.2963193
t349,1.7701442
t350,0.6100922
t351,0.8378605
t352,0.043240618
t353,1.5633337
t354,1.3758655
t355,1.5116303
t356,1.5715349
t357,1.177008
t358,1.7448915
t359,0.790115
t360,1.2257042
t361,1.667569
t362,0.8892773
t363,1.9110311
t364,0.58926743
t365,0.3827234
t366,0.7159677
t367,0.17317
t368,0.3597563
t369,0.48310816
t370,0.8917123
t371,0.7741563
t372,1.6425742
t373,0.5762477
t374,1.076524
t375,0.9801048
t376,0.90113294
t377,2.0105748
t378,1.4244235
t379,5.6417623
t380,0.4389287
t381,4.8171487
t382,0.29467827
t383,1.2206789
t384,0.49926946
t385,2.6285172
t386,2.0190268
t387,0.374316
t388,0.4709409
t389,0.8861282
t390,1.0070331
t391,1.2520354
t392,1.4227877
t393,0.057539273
t394,0.22386734
t395,1.1106268
t396,1.5489881
t397,1.359979
t398,2.0099797
t399,0.8204035
t400,2.663783
t401,0.48393106
t402,0.39554536
t403,0.5939222
t404,0.5857888
t405,0.2744004
t406,0.79335964
t407,0.05238411
t408,0.25231355
t409,0.35552877
t410,0.18253578
t411,0.12401219
t412,0.6263159
t413,0.92626107
t414,0.83071923
t415,0.6079203
t416,0.60034335
t417,0.6876319
t418,1.457516
t419,0.12948436
t420,0.85300845
t421,1.0991503
t422,1.9959481
t423,1.0281516
t424,1.9964405
t425,1.2097461
t426,0.36280668
t427,0.25252917
t428,0.76180947
t429,0.97052366
t430,0.69332653
t431,1.5575916
t432,0.12869848
t433,1.2049669
t434,0.7689772
t435,0.9222521
t436,0.7920631
t437,1.830206
t438,1.4559216
t439,1.7505622
t440,1.1247085
t441,0.48885226
t442,1.2563853
t443,0.29417816
t444,2.1534278
t445,1.1933811
t446,1.0604187
t447,1.3422588
t448,1.2808855
t449,1.4967885
t450,0.7317295
t451,1.1024046
t452,1.1764929
t453,0.6108266
t454,1.771702
t455,0.5868362
t456,0.3416406
t457,0.44427028
t458,0.3006162
t459,2.1468732
t460,0.35273013
t461,0.6372646
t462,0.21682703
t463,0.25992203
t464,0.8354608
t465,1.275197
t466,1.2425807
t467,1.1217407
t468,1.2212471
t469,1.5786592
t470,1.7680379
t471,2.2912796
t472,2.2409747
t473,1.5751103
t474,0.591002
t475,1.2372041
t476,0.640638
t477,1.1604433
t478,3.039052
t479,1.7187588
t480,1.1489428
t481,1.1914675
t482,1.3026394
t483,1.2352084
t484,1.6262021
t485,1.8258151
t486,0.49769616
t487,0.26595154
t488,5.763945
t489,1.4591275
t490,1.4203963
t491,1.7199626
t492,1.1128098
t493,0.79147804
t494,1.092519
t495,2.1869292
t496,0.79186773
t497,0.96050173
t498,1.1161157
t499,0.8503115
t500,2.3991957
t501,1.1621888
t502,1.6059797
t503,0.8495111
t504,0.89839345
t505,1.2587507
t506,1.2961247
t507,1.8834074
t508,0.81263256
t509,0.36323532
t510,0.08523928
t511,0.05830651
t512,0.2686152
