,weight
N0321,0.04851807
N0322,0.088113785
N0323,0.098742545
N0324,0.42455965
N0325,0.28086618
N0326,0.03742167
N0327,0.46527162
N0328,0.12845457
N0329,0.649553
N0330,0.4948532
N0331,0.88241184
N0332,0.044219308
N0333,1.0091093
N0334,0.08769906
N0335,0.1578692
N0336,0.15454713
N0337,0.10610421
N0338,0.10305786
N0339,0.27369085
N0340,0.09806787
N0341,0.15785249
N0342,0.07680937
N0343,1.6510226
N0344,0.04510019
N0345,0.17592247
N0346,0.058601547
N0347,0.13957395
N0348,0.113469616
N0349,0.09017776
N0350,0.11322877
N0351,0.17988934
N0352,0.15223564
N0353,0.20933256
N0354,0.19494826
N0355,0.15830453
N0356,0.17872895
N0357,0.17673333
N0358,0.13989888
N0359,0.18304577
N0360,0.12973386
N0361,0.10294742
N0362,0.17759174
N0363,0.14205831
N0364,0.14026104
N0365,0.1655637
N0366,0.13119741
N0367,0.082632504
N0368,0.46919376
N0369,0.30261075
N0370,0.19317566
N0371,0.123863496
N0372,0.25710952
N0373,0.3413646
N0374,0.0441992
N0375,0.06488611
N0376,0.17758939
N0377,0.13856196
N0378,0.17895702
N0379,0.17361313
N0380,0.15738621
N0381,0.09538761
N0382,0.068894185
N0383,0.10032286
N0384,0.13195884
N0385,0.10298665
N0386,0.31122476
N0387,0.22663066
N0388,0.10953526
N0389,0.37156186
N0390,0.10632043
N0391,0.18221942
N0392,0.3453453
N0393,0.08871704
N0394,0.14543442
N0395,0.115461625
N0396,0.17713271
N0397,0.12381098
N0398,0.12073353
N0399,0.3921348
N0400,0.3078035
N0401,4.3612885
N0402,0.14022696
N0403,0.16989863
N0404,0.42010158
N0405,0.18382306
N0406,0.1691428
N0407,0.2918165
N0408,0.21003632
N0409,0.09241824
N0410,0.16344824
N0411,0.13826256
N0412,0.101020396
N0413,0.10670664
N0414,0.22257358
N0415,0.17630543
N0416,0.34391612
N0417,0.321618
N0418,0.2734834
N0419,0.3693877
N0420,0.30065757
N0421,0.29974207
N0422,0.25877646
N0423,1.6838828
N0424,0.3452788
N0425,1.3273742
N0426,0.16947904
N0427,0.1545034
N0428,3.9900904
N0429,0.1350738
N0430,0.15273088
N0431,0.14110427
N0432,0.12211733
N0433,0.18697435
N0434,0.15702397
N0435,0.3117311
N0436,0.7596316
N0437,0.18750833
N0438,0.209889
N0439,0.37355316
N0440,1.275891
N0441,0.042471144
N0442,0.280309
N0443,0.060637403
N0444,0.5521061
N0445,2.4876456
N0446,0.042379625
N0447,3.2825499
N0448,0.14156085
N0449,0.71138215
N0450,0.34754705
N0451,0.16077796
N0452,2.8820899
N0453,3.0063102
N0454,0.65848374
N0455,0.09706756
N0456,0.07161124
N0457,0.064433955
N0458,0.20946845
N0459,0.09337194
N0460,0.58235
N0461,0.27474973
N0462,0.21622607
N0463,0.76075476
N0464,1.0678777
N0465,1.6318474
N0466,1.530861
N0467,0.18255351
N0468,0.14894773
N0469,0.5514616
N0470,0.77331954
N0471,0.24265946
N0472,0.103425674
N0473,0.10217716
N0474,0.07594038
N0475,0.092872225
N0476,0.26413903
N0477,0.27069584
N0478,1.0468919
N0479,0.851997
N0480,1.0259182
N0481,0.16993198
N0482,0.17087467
N0483,1.8466334
N0484,0.32806182
N0485,1.4204777
N0486,0.45289275
N0487,7.12295
N0488,0.19484293
N0489,0.44373855
N0490,1.0370809
N0491,0.36428455
N0492,0.07104666
N0493,1.7063159
N0494,0.09857203
N0495,0.2553311
N0496,0.060788333
N0497,0.6912856
N0498,0.61125624
N0499,0.6541191
N0500,0.24615219
N0501,0.44546545
N0502,6.5048757
N0503,0.04917776
N0504,1.698693
N0505,0.0776357
N0506,0.028791085
N0507,0.5388209
N0508,1.4975008
N0509,0.9027608
N0510,0.58778286
t1,1.0265195
t2,2.456962
t3,2.6356168
t4,2.036573
t5,0.36206147
t6,5.03974
t7,0.70284486
t8,6.944757
t9,2.7235675
t10,0.9195497
t11,0.68679607
t12,4.072009
t13,6.900846
t14,0.8126828
t15,1.4375219
t16,1.3262733
t17,2.285836
t18,1.7283567
t19,1.3915554
t20,2.641217
t21,1.0839957
t22,0.9621416
t23,1.2467401
t24,1.0716902
t25,0.82818896
t26,2.9900484
t27,0.97560453
t28,1.1455748
t29,1.1007321
t30,2.3409736
t31,1.7823255
t32,3.537397
t33,0.17599615
t34,7.7409105
t35,0.20155938
t36,0.48290431
t37,1.2132158
t38,0.67871565
t39,1.5181426
t40,1.7059667
t41,3.3984542
t42,3.8038952
t43,3.392085
t44,2.7330945
t45,1.5014772
t46,3.1603224
t47,1.7344317
t48,2.1022356
t49,2.4011252
t50,0.9948597
t51,1.3168602
t52,2.5141127
t53,0.694319
t54,6.1101985
t55,2.191624
t56,1.2990608
t57,1.1275184
t58,1.1253246
t59,1.0750364
t60,1.0165544
t61,1.5562543
t62,1.212503
t63,0.8945648
t64,2.6213553
t65,0.41859612
t66,0.13991444
t67,0.2592304
t68,0.8000774
t69,0.30633458
t70,0.5751412
t71,0.39387968
t72,0.112292185
t73,0.2163104
t74,1.4868264
t75,3.9658613
t76,3.9886315
t77,7.1594954
t78,0.08372885
t79,3.5537262
t80,3.7262735
t81,0.9763217
t82,1.0493822
t83,0.6334132
t84,0.26336223
t85,0.93164134
t86,1.131646
t87,1.0647668
t88,1.8619525
t89,2.9100533
t90,3.0217333
t91,2.623004
t92,2.634037
t93,2.3148158
t94,2.0007389
t95,8.381898
t96,0.07055909
t97,0.40257326
t98,0.3350784
t99,0.16461189
t100,6.589243
t101,0.2281031
t102,0.8153083
