,weight
Chchd10,1.5872803e-07
Jade1,2.0913629e-07
Irx4,1.4355383e-07
Qprt,1.970715e-07
Nxf7,2.4610242e-07
Slc7a7,2.1347174e-07
Lamtor4,1.6226095e-07
Carhsp1,3.198661e-07
Sec14l2,2.8449452e-07
Plscr1,1.2046141e-07
H2afz,1.10691296e-07
Gns,2.1488889e-07
Arpc1b,3.6995368e-07
Slc40a1,2.759841e-07
Ptma,2.2603216e-07
Foxo4,3.1008545e-07
Lxn,2.584255e-07
Cox6b1,2.2680777e-07
Atp6v1f,2.3611283e-07
Rasgrp2,1.9835723e-07
Creb3l3,2.4933226e-07
Sigirr,2.5551537e-07
Hsbp1,1.766027e-07
F2r,1.601387e-07
Atp1a1,3.561517e-07
Alas2,4.0751414e-07
Qdpr,1.200229e-07
Rab1a,1.8573367e-07
Epcam,2.1456532e-07
Hmgb1,1.7233559e-07
Cdh1,1.1275743e-07
Prss8,2.4128164e-07
Eif5a,1.8181048e-07
Gata2,6.9286983e-07
Atp6v0e,1.873515e-07
Rps4x,1.4265596e-07
Rab11a,2.5714124e-07
Aass,1.5837811e-07
Blvrb,4.6976257e-07
Vps26a,2.0816069e-07
Ap1b1,1.6132665e-07
Atox1,1.8012761e-07
Krtcap2,1.16295126e-07
Myo6,2.781593e-07
1700019B21Rik,1.2292273e-07
Bst2,1.7798696e-07
P4hb,1.7188471e-07
Slc43a2,1.3382629e-07
Ctsa,2.0955734e-07
Gng12,1.8025288e-07
Cox14,1.323262e-07
Slc26a2,1.5073941e-07
Rpl13,1.18881786e-07
Surf4,2.3245755e-07
Sord,1.9194445e-07
Agpat3,1.2901889e-07
Dgat2,1.4408545e-07
Gpc3,2.9599116e-07
Hadh,1.8227158e-07
Soat1,2.4592507e-07
Nudt11,1.5817042e-07
Crb3,1.2924707e-07
Serpinf2,1.1072972e-07
Pdpn,1.514495e-07
Atp6v0d1,2.2123243e-07
Ppia,1.1198467e-07
Cited4,3.8419674e-07
Tpcn1,1.0832303e-07
Galk1,1.3092419e-07
Lin28a,2.1876554e-07
Rpl10,1.1825017e-07
Krt8,1.4045929e-07
Acaa1a,1.3001515e-07
Klf9,1.5270068e-07
Cd82,1.604885e-07
Hsd17b2,1.4983532e-07
Atp6v1b2,1.2844346e-07
Car2,3.1656944e-07
Rbpms2,1.3105613e-07
Slc39a4,1.7416046e-07
Rnf128,1.3239767e-07
Marcks,1.2524356e-07
2810459M11Rik,1.3708012e-07
Hba-a2,3.5041882e-07
Manf,1.351298e-07
Rps18,1.1053791e-07
S100a16,1.1697409e-07
Uap1l1,1.5434266e-07
Rps5,1.827924e-07
Scpep1,1.394633e-07
Ermap,2.6286637e-07
Atp6v1d,1.6971929e-07
Hbb-bs,3.603183e-07
H2afy,1.15132465e-07
Npc1,1.16752084e-07
Actg1,3.511484e-07
Gpx4,1.5367202e-07
Slc23a1,1.1322272e-07
Sat1,1.3511445e-07
Krt19,3.3882293e-07
Lamp1,9.433805e-08
Dap,1.3302592e-07
Hnrnpa1,1.2191589e-07
Scp2,1.2469938e-07
Slco4c1,1.5992016e-07
Cdhr2,1.6370726e-07
Chchd2,2.219033e-07
Akr7a5,1.4143247e-07
Slc4a1,2.8063062e-07
Rps7,1.4700845e-07
Rps6,1.16923125e-07
Rpl18a,1.0413709e-07
Hexa,1.5001575e-07
Tmem14c,3.136524e-07
Psip1,1.2552348e-07
Adora2b,1.1674818e-07
Rpl28,1.4538278e-07
Clcn5,1.333039e-07
Ang,1.6093328e-07
Atp5g3,1.327623e-07
Lgals1,5.051953e-07
Mgst3,3.5018962e-07
Timd2,1.2581508e-07
Tcn2,1.19070485e-07
Sccpdh,1.2058818e-07
Cul7,1.4389938e-07
Rab20,1.1956695e-07
Acot1,1.4455134e-07
Klc4,1.3795527e-07
Pepd,1.2431538e-07
Esx1,1.49517e-07
Hmga2,1.2869691e-07
Tubb5,1.15534256e-07
Nipsnap1,1.5167572e-07
1600025M17Rik,2.754406e-07
Vkorc1,1.0276104e-07
Pttg1ip,1.4767772e-07
Pdcd6,1.6170931e-07
Snx6,1.654368e-07
Cbr1,2.3510887e-07
Rnf181,1.1149586e-07
Ascl2,7.5183704e-07
Slc3a2,1.5756248e-07
Tfap2a,1.4740603e-07
Gsn,1.16264644e-07
Dsg2,1.2592851e-07
Cd9,1.4011279e-07
Pdlim1,1.3828931e-07
Ifi27l2b,1.0776518e-07
Cd44,1.8187848e-07
Gata3,2.2718596e-07
Fam21,1.2676885e-07
Tagln2,1.7737068e-07
Dhx32,1.3152253e-07
Tigar,1.3610277e-07
Xlr4b,1.46856e-07
Hipk2,1.3892607e-07
Hsp90b1,1.5155138e-07
Depdc7,1.2678784e-07
Arcn1,1.339343e-07
Terf1,1.5575016e-07
Maf,1.3140279e-07
Aqp11,1.15358986e-07
Mogat2,1.2883811e-07
Plxnb2,1.7912087e-07
Elf5,1.5226122e-07
