,weight
Rpsa,5.388885e-07
Klc4,3.61148e-07
Aldoa,4.513696e-07
Rpl9,3.706656e-07
Rnf128,4.949809e-07
Hdgf,4.6489484e-07
Fabp2,4.0517503e-07
Snrpb,4.4457647e-07
Sec14l2,6.853058e-07
Degs1,4.7227712e-07
Rps11,5.055861e-07
Lrp2,3.9419723e-07
Gramd1b,4.6023035e-07
Rpl17,4.0761202e-07
Mfsd12,4.6980105e-07
Tpcn1,4.3662504e-07
Slc43a2,3.4937096e-07
Epcam,3.8162844e-07
Atp6v0e,4.0689e-07
Rpl11,3.788312e-07
Rpl7a,4.7919957e-07
Tspan13,4.4806933e-07
Tfcp2l1,3.7372885e-07
Aldh7a1,2.8118347e-07
Vimp,4.2769184e-07
Jade1,3.3697287e-07
Espn,4.1602223e-07
Marc2,2.9895426e-07
Elovl1,5.4405496e-07
Slc23a1,3.892285e-07
Cgref1,2.8187807e-07
Ass1,3.5234459e-07
Lcp1,4.2166585e-07
Dnajc22,4.0759141e-07
Rpl6,3.7838313e-07
Anp32e,4.2251077e-07
Rpl7,3.921526e-07
Oat,4.594962e-07
Slc7a8,3.2314833e-07
Atox1,3.9021788e-07
Acaa1a,2.5478607e-07
Cox5a,3.2976138e-07
Adora2b,4.553646e-07
Akr1b3,3.3216142e-07
Rpl28,4.197957e-07
Tpd52,4.5329912e-07
Slc35f6,3.5888198e-07
Ldha,3.7461234e-07
Abcg2,2.7205405e-07
Crb3,3.5549567e-07
Rab11a,1.9169087e-07
Rps23,4.054479e-07
Gns,4.0929518e-07
Cox4i1,2.3604593e-07
Avpi1,3.1904804e-07
Uqcrq,4.322462e-07
Serpinf2,3.112165e-07
Rps26,3.2969945e-07
Oaz1,1.6917177e-07
Clcn5,3.4613285e-07
Slc7a9,2.9606818e-07
2810459M11Rik,3.2843127e-07
Hmgb3,4.3921685e-07
Fam162a,2.7518587e-07
Rps20,4.9973545e-07
S100a16,4.284021e-07
Agpat3,2.4072216e-07
Rpl18a,3.2828504e-07
Meg3,3.31185e-07
Rdx,2.4053654e-07
Igsf23,2.99005e-07
Rpl21,2.5509485e-07
Lxn,3.1635994e-07
Rpl19,3.852427e-07
Gpc3,3.4649747e-07
Rps15a,2.437998e-07
Psat1,2.865719e-07
Nap1l1,2.0176526e-07
Rpl36a,3.4300223e-07
Cfl1,1.6877456e-07
mt-Co1,2.795514e-07
Pdlim1,3.036954e-07
Hadh,1.6360639e-07
Gnb2l1,2.866714e-07
Cox14,2.9581756e-07
mt-Co3,3.3684853e-07
Hebp1,1.6535981e-07
Polg,2.8886632e-07
Rab20,3.2314676e-07
Snrpn,2.211109e-07
