,score
Scpep1,70.95221542010037
Mpc2,70.64388565452339
Phyh,70.6156459977812
Rps23,70.46392579009155
Lrp2,70.43071555351148
Tuba1a,70.41126662606483
Oat,70.33932722608513
Uqcrq,70.24821966275816
Slc7a8,70.22554414543663
Kdelr3,70.18969543197812
Rpl18a,70.11127668897282
Cox5a,69.67770448510343
Lcp1,69.67441139698421
Tfcp2l1,69.6218666078313
Atp6v0e,69.33407069694385
Abcg2,69.29381507191681
Ass1,69.1089949220611
Ctsa,68.92105071336873
Rpl9,68.8424573081364
Rpl11,68.81151605781223
Cd82,68.79771932375175
Rps20,68.57598624463552
Gramd1b,68.53786639971439
mt-Co1,68.34958887406971
Elovl1,68.32183296083439
Rps7,67.94747761661499
Rpl28,67.76815669596107
Sord,67.71643205184972
Pdlim1,67.59015242800997
Crb3,67.42862455061724
Marc2,67.30991170235194
Aldh7a1,67.01190856094648
Anp32e,66.93845448232548
Rpl21,66.78554950605587
Cox4i1,66.63436862830443
Rpl7,66.62999381915567
Aldoa,66.49209296718247
2810459M11Rik,66.38304827960623
Rpl19,66.35158216460904
Rpl6,66.13329824253059
Tpd52,66.05697141738185
Acaa1a,66.00453212453687
Slc23a1,65.83628167736624
Atox1,65.58114042262889
Rps19,65.49441380374225
S100a16,65.40035117905484
Cfl1,65.2826714601781
Rab11a,65.09828538873772
Rps15a,64.90132683087499
Anp32b,64.8528070948384
Rab20,64.84095398357393
Hdgf,64.59341292191965
mt-Co3,64.59339333470747
Rps26,64.55515928296018
Avpi1,64.45878790179627
Gpc3,64.21744473601336
Lxn,63.81972562260322
Slc7a9,63.30308623083581
Rpl36a,63.26243356243819
Snrpn,63.15254348392372
Vps26a,63.14769551600221
Agpat3,63.13103737606784
Hexb,63.109345764309865
Ldha,62.85067378878121
Cgref1,62.64000547240626
Aqp8,62.49132045163451
Meg3,62.25653601807273
Clcn5,62.2454583841335
Espn,62.11908424541393
Akr1b3,62.040903100363224
Hist1h2bc,62.02690535095888
Serpinf2,61.823580525674124
Adora2b,61.650805429797515
Vimp,61.643929246703664
Slc35f6,61.17283000571408
Cox14,60.842491944821894
Hmgn1,60.6534957289518
Rdx,60.634867887711444
Sccpdh,60.37186821080994
Nap1l1,60.355524076219815
Fga,60.32309323528786
Dnajc22,60.29624854543249
Slc39a4,60.27753144172074
Psat1,60.10727852188828
Polg,60.050511792943276
Tomm5,59.85292669327652
