,score
Far1,1.9808735690119135
E2f2,1.9308007950819814
Ggt5,1.9061634506737963
Sec61b,1.8533461047319018
Ddx19b,1.8424692124173871
Nefl,1.8319264399088566
Gatsl3,1.8289870055844901
Degs1,1.80253024489212
Psors1c2,1.7924913210635607
Cndp1,1.778792007628927
Recql,1.7571795773021848
Arpc2,1.7266067211946454
Glrx2,1.7262917912320708
Rab25,1.7215637738240224
Ctsl,1.7108571852393357
Btg1,1.6909897207093156
Foxp1,1.6874680121076027
Cebpb,1.6740717153464233
Zbtb8a,1.6717354869417724
Krt12,1.6545691744694941
Cited4,1.6206066737689273
Tsg101,1.6077143760835868
Dstn,1.5947707886979958
Psmb5,1.5393821552878044
Fdxr,1.5390025459728207
Lsm1,1.5274233451869856
C030039L03Rik,1.524754884188038
Plec,1.5189146254403354
Cldn3,1.4974433598094752
Csnk1e,1.4919805228044953
Capza2,1.4898997027781749
Impdh2,1.4749403995161738
Mgst1,1.470827795626206
Ninl,1.4582941656612936
Jtb,1.418750860938642
Dctn2,1.4021315474240936
Calr,1.3975978801218834
Spr,1.3659611162570908
Adora1,1.3502657173310957
Eif4b,1.3183032487144104
Gnas,1.3063343909557041
Gnat3,1.3043107209778209
Lins1,1.300642771830223
Ndufv1,1.2792270001138213
Gchfr,1.2647531511550858
Atp5j,1.250057339121336
Pard3b,1.2437706920796594
Fchsd1,1.2434935703176249
Fyn,1.2418211782024715
Bpifa1,1.2343416918139616
Arpc1b,1.2343227319850782
Pfdn2,1.23179469288201
Mrpl24,1.225089119288004
Txndc17,1.2164845328714113
Actn1,1.1930491939838597
Kiss1r,1.1695503536110687
Rnh1,1.1688792802514965
Lipt2,1.1649511332235531
Serpinb8,1.159802464272507
Mapre1,1.1547616454696348
Pabpn1,1.1426051299217468
Sox12,1.1421769520759446
Gsap,1.13646772945677
Sertad1,1.1335003069647553
Gm10709,1.1268194779351066
Hey1,1.1139567029743371
Cdk5rap1,1.0967734979894594
Eif1a,1.0955147393372302
Slc9a5,1.086394072620375
B930036N10Rik,1.0814576730637862
Lmna,1.0468842000764393
Cd79b,1.0253606114616165
Steap3,0.9994701645398708
Gtf3a,0.9984500471725516
Hddc3,0.9768627057198077
Mrpl55,0.9733531300956773
Arvcf,0.9628967533500934
Med21,0.9584706471698078
Slc37a1,0.9318870805694708
Ldhd,0.9281415633918377
Mrpl23,0.92434153253616
Sec13,0.9218131891005236
Rab6a,0.921020784682454
Rab2a,0.9139736818649444
Ccni,0.8932316478891348
Acaa1a,0.8894963613548624
Cited2,0.885803918994219
Sbk1,0.8854967955225987
Rbm17,0.8835185728122197
Vma21,0.882965058501871
Rab5c,0.8810230228270103
Svbp,0.8738197417683348
Brd7,0.8665085692779178
Cct2,0.8597995219226342
Mllt1,0.8560530555727882
Ncor1,0.853581184724603
Sucnr1,0.8468390258574997
Klf9,0.8445457522624717
0610010K14Rik,0.830969312064482
Myl6,0.8286602532542975
Fam179a,0.8251199184300568
Uggt2,0.818137721539468
Arhgap30,0.8061874786456347
Zfp820,0.8013974920041721
Zcchc9,0.7980613205925807
Tada2b,0.7940012227088296
Otub1,0.7860333695123871
Fus,0.7828882735050559
Btg2,0.7809871042008129
Sumo3,0.77867282786429
Mak,0.764957910089022
Ahnak,0.7617769422913334
Gsg2,0.7384742403984418
Cct4,0.7368844296730375
Papl,0.7309488185326671
Bzw1,0.7271587731279211
Sptbn2,0.7230200783438546
Ubiad1,0.7194422491852391
Acadl,0.7130575769114416
Ociad1,0.699860707459749
Setd4,0.6953482048546565
Sdf2,0.6907734957758609
Tspan3,0.6806917683439474
Nin,0.6696143623803497
Tubb5,0.6638546232441797
Ntng1,0.6481002371358104
