,score
Pigyl,11.039893966543959
Mest,11.026604932510756
Tuba1c,11.023385483387917
Phyh,10.987206471494526
Lrpap1,10.98109562589602
Fabp3,10.959192061558587
Slc43a2,10.954877253402108
Lxn,10.899864359750383
Gga2,10.884276209287524
Klhl13,10.882225464620003
Lpar4,10.818566706539118
Dbn1,10.817523455704416
Krt18,10.79137158040593
Selt,10.758775048119665
Slc16a3,10.711591753668467
Cdh1,10.70172608491212
Clcn5,10.682117377587396
Rps5,10.653790966531753
Agpat3,10.647631796816
Hsd17b11,10.62417602516229
Marcks,10.603309446873633
Qprt,10.580915818076694
Nudt11,10.510655347652877
Rpl14,10.509409143207685
Prdx2,10.496259916398992
Lgals1,10.496046703934814
Hbb-y,10.489152771468564
Creb3l3,10.457448258376113
Hspe1,10.435144167088847
Atp6v1b2,10.413750889642161
Lgals9,10.41342045316759
Serpinb6b,10.403800095062548
Cystm1,10.396739603328628
Got1,10.381498041504896
Tubb5,10.301335817391433
Slc7a9,10.299449401913899
Sigirr,10.241685768838902
Aass,10.22625706963557
Hspa9,10.195931984303297
Gpx4,10.192593389196029
Hbb-bh1,10.185415852907575
H2afz,10.168164132361918
Atp6v0e,10.164856322233568
Gm8730,10.164256055672977
Zfp706,10.120417113823565
Crb3,10.116837197110256
Dpp4,10.107479242214376
Rps7,10.091246252195877
Tmsb4x,10.09094305820219
Hsd17b2,10.074024946424448
Irx4,10.062252509164873
Serpinb9g,10.051314005642116
Nnat,10.044769481116335
Hba-x,10.043883297040976
Ang,9.987909088460603
Tspan8,9.96408313195603
Slco4c1,9.902122752460171
Adora2b,9.899248227573795
Fbxo22,9.883903416767101
Map1b,9.88222322390902
Gm42418,9.879731733776678
Crabp1,9.864391872114584
Epb41l3,9.8629792533039
Avpi1,9.850977316455058
Lamp1,9.841469837486928
Gdi2,9.821614257491
Anxa4,9.81344486594741
Amot,9.813387503613768
Acaa1a,9.804639711851506
Timd2,9.800585933459727
Rab11a,9.800543698559425
Rps18,9.776469684113117
Hexa,9.70829862325526
Aqp8,9.70786664896789
Pmp22,9.703729603811158
Serbp1,9.694881271334149
Hmga2,9.66309993012056
Tcn2,9.653850271433837
Ndufa4,9.63754601121821
Rpl10,9.63137090875921
Hba-a1,9.62870219728967
Npc1,9.624834011526534
Arpc1b,9.620294464865427
Rrbp1,9.615132735154335
Lsr,9.59666031396555
Aldoa,9.535832689677823
Timm8b,9.513220357668043
Kdelr3,9.489511516729646
Gmfb,9.480928707556489
Dgat2,9.477539579261977
Gata2,9.476123776372152
Nxf7,9.460217401090086
Klc4,9.437473173163262
Ccnd1,9.371069078514903
Cideb,9.369469015004618
Etfb,9.299147073169689
Ndn,9.291416183871663
Gsn,9.289549726870085
Krt19,9.251722609987501
Fscn1,9.247424947376953
2810459M11Rik,9.242168467862315
Vkorc1,9.13789520380496
Manf,9.12594611116681
Cul7,9.116092093425785
Degs1,9.115761212728838
Dap,9.102127796081191
Cox6b1,9.089301540706371
Hdgf,9.078823626445738
Maf,9.065816870841505
Uqcr10,9.05805657093209
Vps26a,8.997347542206093
Cnn3,8.980072232436937
Galk1,8.977395912548872
Stard4,8.957295344738323
Tigar,8.934233476514862
Uap1l1,8.918359959401375
Tubb6,8.917104729483203
Mfsd12,8.913256345677253
Acot1,8.874820042110226
Trip12,8.872687117702169
Swt1,8.865174345341076
Cbx5,8.851516601104567
Gltscr1l,8.838923552989316
Rpl10a,8.828395120575076
Hadh,8.824412740394154
Hsp90b1,8.811069492003764
Rnf128,8.805759179429845
Acy1,8.798210412915724
Hdlbp,8.787226887457845
Basp1,8.78051430194769
Serpinf2,8.779138808687511
Gypa,8.777324992544905
Pdpn,8.777091883530272
Slc39a4,8.765401797858386
Mdk,8.755717737487156
Tm4sf5,8.72471744626723
Glud1,8.710938138918587
Pls1,8.706051012706055
Uqcr11,8.637535724634834
Bmp8b,8.634848340022
Eif1ax,8.633001010626467
Cox14,8.611045472042278
Tnfrsf12a,8.594736148991574
Slc23a1,8.591557793051484
Snrpn,8.589413518410275
Cebpb,8.588720226889984
Bnip3l,8.537733398630035
Psip1,8.514340836766797
Hand1,8.506071424019375
Gns,8.502640716197845
Tagln2,8.485329641289978
Commd4,8.479624315849415
Marc2,8.426854947254427
Eps8,8.4160443804572
Dnmt3l,8.386486083890723
Krtcap2,8.372384488915733
Alas2,8.324508548257294
Bco1,8.315226366336235
Rps6,8.304363564141754
Vim,8.299470351935424
Tnks2,8.285281748961554
1700086L19Rik,8.264002403647646
Npm1,8.241291508611718
Scpep1,8.236960758969841
Itm2b,8.232553702207586
Elf5,8.219794587533253
Rpl4,8.209896689026602
2700094K13Rik,8.20698781161174
Mfap2,8.196630905484483
Cdhr2,8.189491600758853
Eif5a,8.167740797671758
Polg,8.131370876154518
Foxo4,8.126700767103221
Plscr1,8.098794366851338
Cd82,8.087066357325684
Plac1,8.076958638452654
Klb,8.06661441908435
Siva1,8.044091475327578
Rab20,8.022322474501365
Tceal8,8.022216056918605
Rps15a,8.008391863876511
Scube3,8.001591921558312
Arhgef6,7.977495123562214
Ubqln2,7.972265559888941
Rps11,7.965193675211682
Krt8,7.962037782355191
Nhp2,7.9585287850874415
Pdcd6,7.92472895533079
Depdc7,7.882651602245374
Stard8,7.820905128113519
Iqgap2,7.814699986327991
Ifi27l2b,7.807976436130623
Acadm,7.789726140203377
Sumo2,7.788713738291617
Scp2,7.754779940381858
Col4a2,7.725702858160174
Snx6,7.722794749844399
Ap1b1,7.699195272898582
Nup62cl,7.689663033180964
Trim6,7.670852889356508
Hpn,7.667988052484749
Pbx1,7.663440923924909
Plekhf2,7.644670826041407
Rpl13,7.640991987679842
Rnpep,7.635576543578637
Tlcd1,7.610553397046454
Slc9a6,7.6065332188405295
Ndufab1,7.5950401103110545
Hist1h2bc,7.5940949849431245
Rps3,7.589672947968023
Sat1,7.575483186951074
Pebp1,7.575193726249845
